country_code,area,year,series,value
233,Estonia,2020,Patents in force (number),"11,444"
233,Estonia,2021,Patents in force (number),"11,768"
748,Eswatini,1985,Grants of patents (number),30
231,Ethiopia,2005,Grants of patents (number),9
231,Ethiopia,2020,Grants of patents (number),1
242,Fiji,1985,Grants of patents (number),15
246,Finland,1985,Resident patent filings (per million population),352
246,Finland,1995,Resident patent filings (per million population),403
246,Finland,2005,Resident patent filings (per million population),637
246,Finland,2010,Resident patent filings (per million population),628
246,Finland,2019,Resident patent filings (per million population),548
246,Finland,2020,Resident patent filings (per million population),630
246,Finland,2021,Resident patent filings (per million population),661
246,Finland,1985,Grants of patents (number),"2,160"
246,Finland,1995,Grants of patents (number),"2,347"
246,Finland,2005,Grants of patents (number),"1,757"
246,Finland,2010,Grants of patents (number),923
246,Finland,2019,Grants of patents (number),505
246,Finland,2020,Grants of patents (number),602
246,Finland,2021,Grants of patents (number),545
246,Finland,2005,Patents in force (number),"39,450"
246,Finland,2010,Patents in force (number),"46,622"
246,Finland,2019,Patents in force (number),"54,501"
246,Finland,2020,Patents in force (number),"55,898"
246,Finland,2021,Patents in force (number),"56,847"
250,France,1985,Resident patent filings (per million population),213
250,France,1995,Resident patent filings (per million population),209
250,France,2005,Resident patent filings (per million population),354
250,France,2010,Resident patent filings (per million population),373
250,France,2019,Resident patent filings (per million population),362
250,France,2020,Resident patent filings (per million population),347
250,France,2021,Resident patent filings (per million population),356
250,France,1985,Grants of patents (number),"24,195"
250,France,1995,Grants of patents (number),"17,918"
250,France,2005,Grants of patents (number),"11,473"
250,France,2010,Grants of patents (number),"9,899"
250,France,2019,Grants of patents (number),"13,593"
250,France,2020,Grants of patents (number),"12,874"
250,France,2021,Grants of patents (number),"15,493"
250,France,2005,Patents in force (number),"343,568"
250,France,2010,Patents in force (number),"435,915"
250,France,2019,Patents in force (number),"640,883"
250,France,2020,Patents in force (number),"674,334"
250,France,2021,Patents in force (number),"703,342"
266,Gabon,2005,Resident patent filings (per million population),3
266,Gabon,2019,Resident patent filings (per million population),4
266,Gabon,2020,Resident patent filings (per million population),2
266,Gabon,2021,Resident patent filings (per million population),9
270,Gambia,2005,Grants of patents (number),2
270,Gambia,2019,Grants of patents (number),16
270,Gambia,2020,Grants of patents (number),16
270,Gambia,2020,Patents in force (number),16
268,Georgia,1995,Resident patent filings (per million population),62
268,Georgia,2005,Resident patent filings (per million population),58
268,Georgia,2010,Resident patent filings (per million population),48
268,Georgia,2019,Resident patent filings (per million population),23
268,Georgia,2020,Resident patent filings (per million population),22
268,Georgia,2021,Resident patent filings (per million population),24
268,Georgia,1995,Grants of patents (number),133
268,Georgia,2005,Grants of patents (number),320
268,Georgia,2010,Grants of patents (number),258
268,Georgia,2019,Grants of patents (number),115
268,Georgia,2020,Grants of patents (number),152
268,Georgia,2021,Grants of patents (number),128
268,Georgia,2005,Patents in force (number),"1,040"
268,Georgia,2010,Patents in force (number),"1,044"
268,Georgia,2019,Patents in force (number),986
268,Georgia,2020,Patents in force (number),910
268,Georgia,2021,Patents in force (number),898
276,Germany,1985,Resident patent filings (per million population),415
276,Germany,1995,Resident patent filings (per million population),467
276,Germany,2005,Resident patent filings (per million population),875
276,Germany,2010,Resident patent filings (per million population),910
276,Germany,2019,Resident patent filings (per million population),884
276,Germany,2020,Resident patent filings (per million population),820
276,Germany,2021,Resident patent filings (per million population),791
276,Germany,1985,Grants of patents (number),"19,500"
276,Germany,1995,Grants of patents (number),"16,000"
276,Germany,2005,Grants of patents (number),"17,063"
276,Germany,2010,Grants of patents (number),"13,678"
276,Germany,2019,Grants of patents (number),"18,255"
276,Germany,2020,Grants of patents (number),"17,305"
276,Germany,2021,Grants of patents (number),"21,113"
276,Germany,2005,Patents in force (number),"434,663"
276,Germany,2010,Patents in force (number),"514,046"
276,Germany,2019,Patents in force (number),"772,358"
276,Germany,2020,Patents in force (number),"834,734"
276,Germany,2021,Patents in force (number),"877,763"
300,Greece,1985,Resident patent filings (per million population),113
300,Greece,1995,Resident patent filings (per million population),25
300,Greece,2005,Resident patent filings (per million population),48
300,Greece,2010,Resident patent filings (per million population),73
300,Greece,2019,Resident patent filings (per million population),46
300,Greece,2020,Resident patent filings (per million population),50
300,Greece,2021,Resident patent filings (per million population),56
300,Greece,1985,Grants of patents (number),"3,294"
300,Greece,1995,Grants of patents (number),350
300,Greece,2005,Grants of patents (number),320
300,Greece,2010,Grants of patents (number),479
300,Greece,2019,Grants of patents (number),248
300,Greece,2020,Grants of patents (number),223
300,Greece,2021,Grants of patents (number),252
300,Greece,2010,Patents in force (number),"32,120"
300,Greece,2019,Patents in force (number),"28,321"
300,Greece,2020,Patents in force (number),"28,492"
300,Greece,2021,Patents in force (number),"29,228"
320,Guatemala,1985,Resident patent filings (per million population),9
320,Guatemala,1995,Resident patent filings (per million population),3
320,Guatemala,2005,Resident patent filings (per million population),1
320,Guatemala,2010,Resident patent filings (per million population),1
320,Guatemala,2021,Resident patent filings (per million population),1
320,Guatemala,1985,Grants of patents (number),166
320,Guatemala,1995,Grants of patents (number),22
320,Guatemala,2005,Grants of patents (number),104
320,Guatemala,2010,Grants of patents (number),104
320,Guatemala,2019,Grants of patents (number),50
320,Guatemala,2020,Grants of patents (number),40
320,Guatemala,2021,Grants of patents (number),38
320,Guatemala,2010,Patents in force (number),590
320,Guatemala,2019,Patents in force (number),883
320,Guatemala,2020,Patents in force (number),839
320,Guatemala,2021,Patents in force (number),854
624,Guinea-Bissau,2020,Resident patent filings (per million population),1
328,Guyana,1985,Grants of patents (number),22
328,Guyana,2021,Grants of patents (number),21
328,Guyana,2021,Patents in force (number),24
332,Haiti,1985,Resident patent filings (per million population),1
332,Haiti,1985,Grants of patents (number),9
332,Haiti,1995,Grants of patents (number),3
332,Haiti,2005,Grants of patents (number),11
332,Haiti,2010,Grants of patents (number),10
340,Honduras,1985,Resident patent filings (per million population),3
340,Honduras,1995,Resident patent filings (per million population),1
340,Honduras,1985,Grants of patents (number),19
340,Honduras,2005,Grants of patents (number),85
340,Honduras,2010,Grants of patents (number),81
340,Honduras,2019,Grants of patents (number),85
340,Honduras,2020,Grants of patents (number),40
340,Honduras,2021,Grants of patents (number),92
340,Honduras,2019,Patents in force (number),267
340,Honduras,2020,Patents in force (number),252
340,Honduras,2021,Patents in force (number),349
348,Hungary,1985,Resident patent filings (per million population),273
348,Hungary,1995,Resident patent filings (per million population),106
348,Hungary,2005,Resident patent filings (per million population),78
348,Hungary,2010,Resident patent filings (per million population),75
348,Hungary,2019,Resident patent filings (per million population),54
348,Hungary,2020,Resident patent filings (per million population),55
348,Hungary,2021,Resident patent filings (per million population),57
348,Hungary,1985,Grants of patents (number),"2,095"
348,Hungary,1995,Grants of patents (number),"1,910"
348,Hungary,2005,Grants of patents (number),"1,126"
348,Hungary,2010,Grants of patents (number),65
348,Hungary,2019,Grants of patents (number),135
348,Hungary,2020,Grants of patents (number),94
348,Hungary,2021,Grants of patents (number),107
348,Hungary,2005,Patents in force (number),"9,125"
348,Hungary,2010,Patents in force (number),"13,853"
348,Hungary,2019,Patents in force (number),"31,958"
348,Hungary,2020,Patents in force (number),"33,566"
348,Hungary,2021,Patents in force (number),"34,797"
352,Iceland,1985,Grants of patents (number),21
352,Iceland,1995,Grants of patents (number),11
352,Iceland,2005,Grants of patents (number),101
352,Iceland,2010,Grants of patents (number),139
352,Iceland,2019,Grants of patents (number),9
352,Iceland,2020,Grants of patents (number),9
352,Iceland,2021,Grants of patents (number),7
352,Iceland,2005,Patents in force (number),349
352,Iceland,2010,Patents in force (number),"1,892"
352,Iceland,2019,Patents in force (number),"8,481"
352,Iceland,2020,Patents in force (number),"9,001"
352,Iceland,2021,Patents in force (number),"9,330"
356,India,1985,Resident patent filings (per million population),1
356,India,1995,Resident patent filings (per million population),2
356,India,2005,Resident patent filings (per million population),4
356,India,2010,Resident patent filings (per million population),7
356,India,2019,Resident patent filings (per million population),14
356,India,2020,Resident patent filings (per million population),17
356,India,2021,Resident patent filings (per million population),19
356,India,1985,Grants of patents (number),"1,814"
356,India,1995,Grants of patents (number),"1,613"
356,India,2005,Grants of patents (number),"4,320"
356,India,2010,Grants of patents (number),"7,138"
356,India,2019,Grants of patents (number),"23,578"
356,India,2020,Grants of patents (number),"26,361"
356,India,2021,Grants of patents (number),"30,721"
356,India,2005,Patents in force (number),"16,419"
356,India,2010,Patents in force (number),"47,224"
356,India,2019,Patents in force (number),"76,556"
356,India,2020,Patents in force (number),"92,897"
356,India,2021,Patents in force (number),"110,879"
360,Indonesia,2005,Resident patent filings (per million population),1
360,Indonesia,2010,Resident patent filings (per million population),2
360,Indonesia,2019,Resident patent filings (per million population),11
360,Indonesia,2020,Resident patent filings (per million population),5
360,Indonesia,2021,Resident patent filings (per million population),5
360,Indonesia,2019,Grants of patents (number),"10,514"
360,Indonesia,2020,Grants of patents (number),"7,981"
360,Indonesia,2021,Grants of patents (number),"6,850"
360,Indonesia,2020,Patents in force (number),"59,394"
364,Iran,1985,Resident patent filings (per million population),4
364,Iran,1995,Resident patent filings (per million population),5
364,Iran,2005,Resident patent filings (per million population),58
364,Iran,2010,Resident patent filings (per million population),151
364,Iran,2019,Resident patent filings (per million population),140
364,Iran,2020,Resident patent filings (per million population),136
364,Iran,2021,Resident patent filings (per million population),120
364,Iran,1985,Grants of patents (number),339
364,Iran,1995,Grants of patents (number),166
364,Iran,2005,Grants of patents (number),"2,890"
364,Iran,2010,Grants of patents (number),"5,372"
364,Iran,2019,Grants of patents (number),"2,769"
364,Iran,2020,Grants of patents (number),"3,660"
364,Iran,2021,Grants of patents (number),"3,013"
364,Iran,2019,Patents in force (number),"53,565"
364,Iran,2020,Patents in force (number),"38,642"
364,Iran,2021,Patents in force (number),"35,955"
368,Iraq,1985,Resident patent filings (per million population),19
368,Iraq,1995,Resident patent filings (per million population),4
368,Iraq,2019,Resident patent filings (per million population),19
368,Iraq,2020,Resident patent filings (per million population),16
368,Iraq,1985,Grants of patents (number),103
368,Iraq,1995,Grants of patents (number),32
368,Iraq,2019,Grants of patents (number),470
368,Iraq,2020,Grants of patents (number),404
368,Iraq,2019,Patents in force (number),"3,199"
368,Iraq,2020,Patents in force (number),"3,546"
372,Ireland,1985,Resident patent filings (per million population),205
372,Ireland,2019,Resident patent filings (per million population),190
372,Ireland,2020,Resident patent filings (per million population),210
372,Ireland,2021,Resident patent filings (per million population),203
372,Ireland,1985,Grants of patents (number),"1,042"
372,Ireland,1995,Grants of patents (number),"3,208"
372,Ireland,2005,Grants of patents (number),226
372,Ireland,2010,Grants of patents (number),87
372,Ireland,2019,Grants of patents (number),48
372,Ireland,2020,Grants of patents (number),42
372,Ireland,2021,Grants of patents (number),43
372,Ireland,2010,Patents in force (number),"79,040"
372,Ireland,2019,Patents in force (number),"221,884"
372,Ireland,2020,Patents in force (number),"217,386"
372,Ireland,2021,Patents in force (number),"197,254"
376,Israel,1985,Resident patent filings (per million population),187
376,Israel,1995,Resident patent filings (per million population),228
376,Israel,2005,Resident patent filings (per million population),241
376,Israel,2010,Resident patent filings (per million population),190
376,Israel,2019,Resident patent filings (per million population),151
376,Israel,2020,Resident patent filings (per million population),178
376,Israel,2021,Resident patent filings (per million population),170
376,Israel,1985,Grants of patents (number),"1,636"
376,Israel,1995,Grants of patents (number),"2,029"
376,Israel,2005,Grants of patents (number),"2,269"
376,Israel,2010,Grants of patents (number),"2,293"
376,Israel,2019,Grants of patents (number),"4,197"
376,Israel,2020,Grants of patents (number),"4,668"
376,Israel,2021,Grants of patents (number),"5,488"
376,Israel,2010,Patents in force (number),"26,494"
376,Israel,2019,Patents in force (number),"34,892"
376,Israel,2020,Patents in force (number),"35,096"
376,Israel,2021,Patents in force (number),"35,539"
380,Italy,1985,Resident patent filings (per million population),35
380,Italy,2010,Resident patent filings (per million population),219
380,Italy,2019,Resident patent filings (per million population),229
380,Italy,2020,Resident patent filings (per million population),247
380,Italy,2021,Resident patent filings (per million population),257
380,Italy,1995,Grants of patents (number),"9,164"
380,Italy,2005,Grants of patents (number),"5,534"
380,Italy,2010,Grants of patents (number),"16,106"
380,Italy,2019,Grants of patents (number),"8,617"
380,Italy,2020,Grants of patents (number),"9,152"
380,Italy,2021,Grants of patents (number),"7,254"
380,Italy,2010,Patents in force (number),"229,648"
380,Italy,2019,Patents in force (number),"339,072"
380,Italy,2020,Patents in force (number),"402,621"
380,Italy,2021,Patents in force (number),"409,696"
388,Jamaica,1995,Resident patent filings (per million population),3
388,Jamaica,2005,Resident patent filings (per million population),4
388,Jamaica,2010,Resident patent filings (per million population),5
388,Jamaica,2019,Resident patent filings (per million population),5
388,Jamaica,2020,Resident patent filings (per million population),3
388,Jamaica,2021,Resident patent filings (per million population),5
388,Jamaica,1995,Grants of patents (number),4
388,Jamaica,2019,Grants of patents (number),1
388,Jamaica,2020,Grants of patents (number),5
388,Jamaica,2021,Grants of patents (number),5
388,Jamaica,2005,Patents in force (number),527
388,Jamaica,2019,Patents in force (number),306
388,Jamaica,2020,Patents in force (number),317
388,Jamaica,2021,Patents in force (number),319
392,Japan,1985,Resident patent filings (per million population),"2,271"
392,Japan,1995,Resident patent filings (per million population),"2,667"
392,Japan,2005,Resident patent filings (per million population),"2,880"
392,Japan,2010,Resident patent filings (per million population),"2,265"
392,Japan,2019,Resident patent filings (per million population),"1,938"
392,Japan,2020,Resident patent filings (per million population),"1,801"
392,Japan,2021,Resident patent filings (per million population),"1,770"
392,Japan,1985,Grants of patents (number),"50,100"
392,Japan,1995,Grants of patents (number),"109,100"
392,Japan,2005,Grants of patents (number),"122,944"
392,Japan,2010,Grants of patents (number),"222,693"
392,Japan,2019,Grants of patents (number),"179,910"
392,Japan,2020,Grants of patents (number),"179,383"
392,Japan,2021,Grants of patents (number),"184,372"
392,Japan,2005,Patents in force (number),"1,123,055"
392,Japan,2010,Patents in force (number),"1,423,432"
392,Japan,2019,Patents in force (number),"2,053,879"
392,Japan,2020,Patents in force (number),"2,039,040"
392,Japan,2021,Patents in force (number),"2,020,424"
400,Jordan,2005,Resident patent filings (per million population),9
400,Jordan,2010,Resident patent filings (per million population),6
400,Jordan,2019,Resident patent filings (per million population),2
400,Jordan,2020,Resident patent filings (per million population),4
400,Jordan,2021,Resident patent filings (per million population),2
400,Jordan,2005,Grants of patents (number),55
400,Jordan,2010,Grants of patents (number),64
400,Jordan,2019,Grants of patents (number),88
400,Jordan,2020,Grants of patents (number),334
400,Jordan,2021,Grants of patents (number),166
400,Jordan,2010,Patents in force (number),312
400,Jordan,2019,Patents in force (number),554
400,Jordan,2020,Patents in force (number),694
400,Jordan,2021,Patents in force (number),821
398,Kazakhstan,1995,Resident patent filings (per million population),65
398,Kazakhstan,2005,Resident patent filings (per million population),101
398,Kazakhstan,2010,Resident patent filings (per million population),105
398,Kazakhstan,2020,Resident patent filings (per million population),48
398,Kazakhstan,1995,Grants of patents (number),"1,281"
398,Kazakhstan,2010,Grants of patents (number),"1,868"
398,Kazakhstan,2020,Grants of patents (number),709
398,Kazakhstan,2021,Grants of patents (number),651
398,Kazakhstan,2010,Patents in force (number),581
398,Kazakhstan,2019,Patents in force (number),"2,891"
398,Kazakhstan,2020,Patents in force (number),"3,152"
398,Kazakhstan,2021,Patents in force (number),"3,137"
404,Kenya,2005,Resident patent filings (per million population),1
404,Kenya,2010,Resident patent filings (per million population),2
404,Kenya,2019,Resident patent filings (per million population),6
404,Kenya,2020,Resident patent filings (per million population),6
404,Kenya,2021,Resident patent filings (per million population),3
404,Kenya,1985,Grants of patents (number),98
404,Kenya,2005,Grants of patents (number),48
404,Kenya,2010,Grants of patents (number),54
404,Kenya,2019,Grants of patents (number),28
404,Kenya,2020,Grants of patents (number),35
404,Kenya,2021,Grants of patents (number),35
296,Kiribati,1985,Grants of patents (number),1
417,Kyrgyzstan,1995,Resident patent filings (per million population),26
417,Kyrgyzstan,2010,Resident patent filings (per million population),26
417,Kyrgyzstan,2019,Resident patent filings (per million population),16
417,Kyrgyzstan,2020,Resident patent filings (per million population),11
417,Kyrgyzstan,2021,Resident patent filings (per million population),13
417,Kyrgyzstan,1995,Grants of patents (number),133
417,Kyrgyzstan,2010,Grants of patents (number),109
417,Kyrgyzstan,2019,Grants of patents (number),67
417,Kyrgyzstan,2020,Grants of patents (number),49
417,Kyrgyzstan,2021,Grants of patents (number),39
417,Kyrgyzstan,2010,Patents in force (number),112
417,Kyrgyzstan,2019,Patents in force (number),223
417,Kyrgyzstan,2020,Patents in force (number),194
417,Kyrgyzstan,2021,Patents in force (number),173
418,Laos,2005,Resident patent filings (per million population),1
418,Laos,2020,Grants of patents (number),14
418,Laos,2020,Patents in force (number),574
428,Latvia,1995,Resident patent filings (per million population),85
428,Latvia,2005,Resident patent filings (per million population),53
428,Latvia,2010,Resident patent filings (per million population),101
428,Latvia,2019,Resident patent filings (per million population),54
428,Latvia,2020,Resident patent filings (per million population),64
428,Latvia,2021,Resident patent filings (per million population),67
428,Latvia,1995,Grants of patents (number),629
428,Latvia,2005,Grants of patents (number),122
428,Latvia,2010,Grants of patents (number),184
428,Latvia,2019,Grants of patents (number),52
428,Latvia,2020,Grants of patents (number),60
428,Latvia,2021,Grants of patents (number),76
428,Latvia,2005,Patents in force (number),"4,012"
428,Latvia,2010,Patents in force (number),"5,680"
428,Latvia,2019,Patents in force (number),"9,928"
428,Latvia,2020,Patents in force (number),"9,249"
428,Latvia,2021,Patents in force (number),"10,726"
426,Lesotho,1995,Resident patent filings (per million population),4
426,Lesotho,2019,Resident patent filings (per million population),1
426,Lesotho,1995,Grants of patents (number),7
434,Libya,1995,Resident patent filings (per million population),1
440,Lithuania,1995,Resident patent filings (per million population),29
440,Lithuania,2005,Resident patent filings (per million population),21
440,Lithuania,2010,Resident patent filings (per million population),38
440,Lithuania,2019,Resident patent filings (per million population),43
440,Lithuania,2020,Resident patent filings (per million population),52
440,Lithuania,2021,Resident patent filings (per million population),55
440,Lithuania,1995,Grants of patents (number),494
440,Lithuania,2005,Grants of patents (number),116
440,Lithuania,2010,Grants of patents (number),84
440,Lithuania,2019,Grants of patents (number),112
440,Lithuania,2020,Grants of patents (number),106
440,Lithuania,2021,Grants of patents (number),83
440,Lithuania,2005,Patents in force (number),"3,835"
440,Lithuania,2010,Patents in force (number),"5,202"
440,Lithuania,2019,Patents in force (number),"11,810"
440,Lithuania,2020,Patents in force (number),"12,354"
440,Lithuania,2021,Patents in force (number),"12,718"
442,Luxembourg,1985,Grants of patents (number),418
442,Luxembourg,2005,Grants of patents (number),29
442,Luxembourg,2010,Grants of patents (number),87
442,Luxembourg,2019,Grants of patents (number),326
442,Luxembourg,2020,Grants of patents (number),438
442,Luxembourg,2021,Grants of patents (number),"1,036"
442,Luxembourg,2010,Patents in force (number),"42,805"
442,Luxembourg,2019,Patents in force (number),"145,728"
442,Luxembourg,2020,Patents in force (number),"165,249"
442,Luxembourg,2021,Patents in force (number),"143,988"
450,Madagascar,1995,Resident patent filings (per million population),2
450,Madagascar,1995,Grants of patents (number),25
450,Madagascar,2005,Grants of patents (number),32
450,Madagascar,2010,Grants of patents (number),55
450,Madagascar,2019,Grants of patents (number),15
450,Madagascar,2020,Grants of patents (number),4
450,Madagascar,2021,Grants of patents (number),48
450,Madagascar,2005,Patents in force (number),249
450,Madagascar,2010,Patents in force (number),387
450,Madagascar,2019,Patents in force (number),234
450,Madagascar,2020,Patents in force (number),209
450,Madagascar,2021,Patents in force (number),223
454,Malawi,1985,Grants of patents (number),43
454,Malawi,1995,Grants of patents (number),23
454,Malawi,2010,Grants of patents (number),1
458,Malaysia,1985,Resident patent filings (per million population),1
458,Malaysia,1995,Resident patent filings (per million population),7
458,Malaysia,2005,Resident patent filings (per million population),20
458,Malaysia,2010,Resident patent filings (per million population),44
458,Malaysia,2019,Resident patent filings (per million population),34
458,Malaysia,2020,Resident patent filings (per million population),31
458,Malaysia,2021,Resident patent filings (per million population),27
458,Malaysia,1985,Grants of patents (number),"1,150"
458,Malaysia,1995,Grants of patents (number),"1,753"
458,Malaysia,2005,Grants of patents (number),"2,508"
458,Malaysia,2010,Grants of patents (number),"2,160"
458,Malaysia,2019,Grants of patents (number),"4,106"
458,Malaysia,2020,Grants of patents (number),"8,206"
458,Malaysia,2021,Grants of patents (number),"6,876"
458,Malaysia,2010,Patents in force (number),"20,908"
458,Malaysia,2019,Patents in force (number),"27,309"
458,Malaysia,2020,Patents in force (number),"31,975"
458,Malaysia,2021,Patents in force (number),"34,141"
466,Mali,2021,Resident patent filings (per million population),1
470,Malta,1985,Grants of patents (number),20
470,Malta,1995,Grants of patents (number),19
470,Malta,2010,Grants of patents (number),4
470,Malta,2019,Grants of patents (number),23
470,Malta,2020,Grants of patents (number),10
470,Malta,2021,Grants of patents (number),11
470,Malta,2010,Patents in force (number),832
470,Malta,2019,Patents in force (number),233
470,Malta,2020,Patents in force (number),248
470,Malta,2021,Patents in force (number),233
480,Mauritius,1985,Resident patent filings (per million population),4
480,Mauritius,1995,Resident patent filings (per million population),3
480,Mauritius,2019,Resident patent filings (per million population),3
480,Mauritius,2020,Resident patent filings (per million population),5
480,Mauritius,2021,Resident patent filings (per million population),5
480,Mauritius,1985,Grants of patents (number),4
480,Mauritius,1995,Grants of patents (number),3
480,Mauritius,2010,Grants of patents (number),8
480,Mauritius,2019,Grants of patents (number),4
480,Mauritius,2020,Grants of patents (number),17
480,Mauritius,2021,Grants of patents (number),4
480,Mauritius,2021,Patents in force (number),20
484,Mexico,1985,Resident patent filings (per million population),8
484,Mexico,1995,Resident patent filings (per million population),5
484,Mexico,2005,Resident patent filings (per million population),6
484,Mexico,2010,Resident patent filings (per million population),8
484,Mexico,2019,Resident patent filings (per million population),10
484,Mexico,2020,Resident patent filings (per million population),9
484,Mexico,2021,Resident patent filings (per million population),9
484,Mexico,1985,Grants of patents (number),977
484,Mexico,1995,Grants of patents (number),"3,538"
484,Mexico,2005,Grants of patents (number),"8,098"
484,Mexico,2010,Grants of patents (number),"9,399"
484,Mexico,2019,Grants of patents (number),"8,702"
484,Mexico,2020,Grants of patents (number),"7,726"
484,Mexico,2021,Grants of patents (number),"10,369"
484,Mexico,2005,Patents in force (number),"48,374"
484,Mexico,2010,Patents in force (number),"82,017"
484,Mexico,2019,Patents in force (number),"113,449"
484,Mexico,2020,Patents in force (number),"113,330"
484,Mexico,2021,Patents in force (number),"117,170"
492,Monaco,1985,Grants of patents (number),66
492,Monaco,1995,Grants of patents (number),36
492,Monaco,2005,Grants of patents (number),9
492,Monaco,2010,Grants of patents (number),5
492,Monaco,2019,Grants of patents (number),4
492,Monaco,2020,Grants of patents (number),16
492,Monaco,2021,Grants of patents (number),9
492,Monaco,2005,Patents in force (number),"37,483"
492,Monaco,2010,Patents in force (number),"53,859"
492,Monaco,2019,Patents in force (number),"112,286"
492,Monaco,2020,Patents in force (number),"109,213"
492,Monaco,2021,Patents in force (number),"108,388"
496,Mongolia,1995,Resident patent filings (per million population),57
496,Mongolia,2005,Resident patent filings (per million population),40
496,Mongolia,2010,Resident patent filings (per million population),40
496,Mongolia,2019,Resident patent filings (per million population),26
496,Mongolia,2020,Resident patent filings (per million population),20
496,Mongolia,2021,Resident patent filings (per million population),33
496,Mongolia,1985,Grants of patents (number),5
496,Mongolia,1995,Grants of patents (number),117
496,Mongolia,2005,Grants of patents (number),197
496,Mongolia,2010,Grants of patents (number),96
496,Mongolia,2019,Grants of patents (number),177
496,Mongolia,2020,Grants of patents (number),124
496,Mongolia,2021,Grants of patents (number),186
496,Mongolia,2005,Patents in force (number),"13,663"
496,Mongolia,2010,Patents in force (number),"2,645"
496,Mongolia,2019,Patents in force (number),"1,155"
496,Mongolia,2020,Patents in force (number),"1,317"
496,Mongolia,2021,Patents in force (number),"1,445"
499,Montenegro,2010,Grants of patents (number),264
499,Montenegro,2019,Grants of patents (number),7
499,Montenegro,2020,Grants of patents (number),4
499,Montenegro,2010,Patents in force (number),264
504,Morocco,1985,Resident patent filings (per million population),2
504,Morocco,1995,Resident patent filings (per million population),3
504,Morocco,2005,Resident patent filings (per million population),5
504,Morocco,2010,Resident patent filings (per million population),5
504,Morocco,2019,Resident patent filings (per million population),6
504,Morocco,2020,Resident patent filings (per million population),7
504,Morocco,2021,Resident patent filings (per million population),7
504,Morocco,1985,Grants of patents (number),313
504,Morocco,1995,Grants of patents (number),354
504,Morocco,2005,Grants of patents (number),556
504,Morocco,2010,Grants of patents (number),808
504,Morocco,2019,Grants of patents (number),357
504,Morocco,2020,Grants of patents (number),400
504,Morocco,2021,Grants of patents (number),745
504,Morocco,2005,Patents in force (number),"9,872"
504,Morocco,2019,Patents in force (number),"8,737"
504,Morocco,2020,Patents in force (number),"10,192"
504,Morocco,2021,Patents in force (number),"10,215"
508,Mozambique,2010,Resident patent filings (per million population),1
508,Mozambique,2019,Resident patent filings (per million population),1
508,Mozambique,2020,Resident patent filings (per million population),1
508,Mozambique,2021,Resident patent filings (per million population),1
508,Mozambique,2005,Grants of patents (number),14
508,Mozambique,2019,Patents in force (number),"3,041"
508,Mozambique,2020,Patents in force (number),"3,791"
508,Mozambique,2021,Patents in force (number),"4,259"
516,Namibia,2019,Resident patent filings (per million population),4
516,Namibia,2019,Grants of patents (number),30
516,Namibia,2020,Grants of patents (number),21
516,Namibia,2019,Patents in force (number),643
516,Namibia,2020,Patents in force (number),664
524,Nepal,1985,Grants of patents (number),1
524,Nepal,1995,Grants of patents (number),1
524,Nepal,2005,Grants of patents (number),3
528,Netherlands,1985,Resident patent filings (per million population),134
528,Netherlands,1995,Resident patent filings (per million population),137
528,Netherlands,2005,Resident patent filings (per million population),614
528,Netherlands,2010,Resident patent filings (per million population),511
528,Netherlands,2019,Resident patent filings (per million population),529
528,Netherlands,2020,Resident patent filings (per million population),492
528,Netherlands,2021,Resident patent filings (per million population),493
528,Netherlands,1985,Grants of patents (number),"2,145"
528,Netherlands,1995,Grants of patents (number),673
528,Netherlands,2005,Grants of patents (number),"2,373"
528,Netherlands,2010,Grants of patents (number),"1,947"
528,Netherlands,2019,Grants of patents (number),"1,936"
528,Netherlands,2020,Grants of patents (number),"1,911"
528,Netherlands,2021,Grants of patents (number),"2,264"
528,Netherlands,2005,Patents in force (number),"135,215"
528,Netherlands,2010,Patents in force (number),"135,127"
528,Netherlands,2019,Patents in force (number),"205,675"
528,Netherlands,2020,Patents in force (number),"212,855"
528,Netherlands,2021,Patents in force (number),"212,866"
554,New Zealand,1985,Resident patent filings (per million population),310
554,New Zealand,1995,Resident patent filings (per million population),350
554,New Zealand,2005,Resident patent filings (per million population),458
554,New Zealand,2010,Resident patent filings (per million population),364
554,New Zealand,2019,Resident patent filings (per million population),65
554,New Zealand,2020,Resident patent filings (per million population),68
554,New Zealand,2021,Resident patent filings (per million population),64
554,New Zealand,1985,Grants of patents (number),"1,732"
554,New Zealand,1995,Grants of patents (number),"2,641"
554,New Zealand,2005,Grants of patents (number),"4,189"
554,New Zealand,2010,Grants of patents (number),"4,347"
554,New Zealand,2019,Grants of patents (number),"1,642"
554,New Zealand,2020,Grants of patents (number),"1,841"
554,New Zealand,2021,Grants of patents (number),"2,149"
554,New Zealand,2005,Patents in force (number),"34,182"
554,New Zealand,2010,Patents in force (number),"34,800"
554,New Zealand,2019,Patents in force (number),"30,519"
554,New Zealand,2020,Patents in force (number),"28,048"
554,New Zealand,2021,Patents in force (number),"25,749"
558,Nicaragua,1985,Resident patent filings (per million population),1
558,Nicaragua,1985,Grants of patents (number),25
558,Nicaragua,1995,Grants of patents (number),1
566,Nigeria,2019,Resident patent filings (per million population),2
566,Nigeria,2020,Resident patent filings (per million population),2
566,Nigeria,2019,Patents in force (number),853
566,Nigeria,2020,Patents in force (number),451
807,North Macedonia,1995,Resident patent filings (per million population),50
807,North Macedonia,2005,Resident patent filings (per million population),26
